id,Fecha,Comuna,Barrio,Problema,Estado,TiempoSolucion
1,11/13/2024,Manrique,Nagrog,Luminaria dañada,Solucionado,13
2,10/18/2024,La Candelaria,Aībak,Luminaria dañada,Pendiente,
3,4/3/2025,Castilla,Gjoçaj,Luminaria dañada,Solucionado,4
4,10/29/2024,Santo Domingo,Aganan,Hueco en vía,En proceso,
5,1/22/2025,Doce de Octubre,Cabaritan East,Poste caído,Solucionado,13
6,3/29/2025,Itagui,Berestechko,Hueco en vía,Solucionado,30
7,10/17/2024,Doce de Octubre,Tran,Poste caído,En proceso,
8,3/16/2025,Santa Cruz,Idrija,Poste caído,Solucionado,29
9,11/15/2024,Aranjuez,Seraya,Alcantarillado colapsado,Pendiente,
10,4/7/2025,La Candelaria,Bendosewu,Poste caído,Pendiente,
11,1/14/2025,Robledo,Kembangarum,Poste caído,Solucionado,8
12,2/24/2025,Santa Cruz,Pocito,Luminaria dañada,Pendiente,
13,8/31/2024,Manrique,Rancabungur,Hueco en vía,Solucionado,30
14,4/18/2025,Envigado,Banjar Sebual,Poste caído,En proceso,
15,10/10/2024,Villa Hermosa,Comillas Norte,Luminaria dañada,Solucionado,23
16,1/20/2025,Manrique,Sātkania,Luminaria dañada,Solucionado,29
17,12/4/2024,Aranjuez,Sampaio,Poste caído,Pendiente,
18,2/20/2025,Aranjuez,Dongjia,Poste caído,Pendiente,
19,9/20/2024,Aranjuez,Huangxi,Alcantarillado colapsado,En proceso,
20,7/18/2024,Doce de Octubre,Belyye Berega,Poste caído,En proceso,
21,12/11/2024,Guayabal,Paris La Défense,Hueco en vía,En proceso,
22,7/15/2024,Guayabal,Polkowice,Poste caído,En proceso,
23,7/17/2024,Santa Cruz,Smolenskoye,Hueco en vía,Pendiente,
24,1/26/2025,Castilla,Ceará Mirim,Poste caído,Pendiente,
25,7/20/2024,Castilla,Bolian,Alcantarillado colapsado,Pendiente,
26,5/22/2025,Villa Hermosa,Juwana,Poste caído,En proceso,
27,8/23/2024,Envigado,Strasbourg,Poste caído,En proceso,
28,2/22/2025,Castilla,Ciawitali,Luminaria dañada,Solucionado,18
29,10/10/2024,Envigado,Ringim,Hueco en vía,En proceso,
30,8/21/2024,El Poblado,Hengshanqiao,Luminaria dañada,En proceso,
31,3/17/2025,Santo Domingo,Los Angeles,Alcantarillado colapsado,En proceso,
32,10/22/2024,San Javier,Sanlidian,Luminaria dañada,Pendiente,
33,12/29/2024,Santo Domingo,Tong’an,Alcantarillado colapsado,Solucionado,25
34,6/23/2024,Villa Hermosa,Andros Town,Alcantarillado colapsado,Pendiente,
35,2/26/2025,Castilla,Gatbo,Luminaria dañada,Pendiente,
36,7/14/2024,Santa Cruz,Limoges,Alcantarillado colapsado,Pendiente,
37,7/1/2024,La Candelaria,Portland,Luminaria dañada,Solucionado,21
38,10/16/2024,Robledo,Kavajë,Poste caído,Solucionado,28
39,11/10/2024,Doce de Octubre,Betim,Hueco en vía,Solucionado,6
40,5/31/2024,Santo Domingo,Calarcá,Poste caído,En proceso,
41,12/16/2024,La Candelaria,Volgorechensk,Poste caído,En proceso,
42,8/1/2024,Manrique,Balas,Hueco en vía,Solucionado,9
43,10/13/2024,La Candelaria,Perre,Hueco en vía,Solucionado,8
44,2/23/2025,Envigado,Warudoyong,Poste caído,Solucionado,17
45,6/8/2024,Santo Domingo,Were Īlu,Poste caído,Solucionado,12
46,6/17/2024,Doce de Octubre,Zengtian,Hueco en vía,Solucionado,7
47,9/21/2024,Aranjuez,Yunlong,Hueco en vía,En proceso,
48,11/10/2024,San Javier,Andrijaševci,Poste caído,En proceso,
49,1/23/2025,Santo Domingo,Huaibei,Hueco en vía,Pendiente,
50,3/8/2025,Doce de Octubre,Potongan,Poste caído,Pendiente,
51,6/26/2024,Doce de Octubre,Tuzha,Poste caído,En proceso,
52,5/5/2025,Aranjuez,Beit Horon,Alcantarillado colapsado,Pendiente,
53,4/17/2025,Doce de Octubre,Batas Barat,Hueco en vía,En proceso,
54,3/5/2025,Guayabal,Koryukivka,Poste caído,Solucionado,24
55,5/21/2025,La Candelaria,Nowe Skalmierzyce,Alcantarillado colapsado,En proceso,
56,10/29/2024,Santo Domingo,Gorna Oryakhovitsa,Hueco en vía,Solucionado,18
57,1/23/2025,Envigado,San José,Luminaria dañada,Solucionado,30
58,4/11/2025,Santo Domingo,Longgang,Luminaria dañada,En proceso,
59,6/6/2024,Aranjuez,Qaxbaş,Poste caído,Solucionado,27
60,10/11/2024,Itagui,São Miguel,Alcantarillado colapsado,En proceso,
61,3/12/2025,Aranjuez,Nzérékoré,Alcantarillado colapsado,En proceso,
62,3/27/2025,Castilla,Nova Era,Hueco en vía,Solucionado,28
63,11/18/2024,Doce de Octubre,Dajasongai,Luminaria dañada,Solucionado,4
64,1/29/2025,San Javier,Dawuhan,Hueco en vía,En proceso,
65,7/18/2024,Aranjuez,Kurume,Alcantarillado colapsado,Solucionado,25
66,3/16/2025,San Javier,Zhoukou,Luminaria dañada,Solucionado,12
67,2/27/2025,Itagui,Tumu,Alcantarillado colapsado,Pendiente,
68,9/11/2024,San Javier,Blokdesa Situgede,Hueco en vía,Solucionado,6
69,3/19/2025,Belen,Sundsvall,Alcantarillado colapsado,En proceso,
70,9/16/2024,Envigado,Oslo,Luminaria dañada,En proceso,
71,9/7/2024,El Poblado,Longonjo,Luminaria dañada,Solucionado,7
72,8/10/2024,Guayabal,Ol’gino,Hueco en vía,Pendiente,
73,3/18/2025,Belen,R S,Poste caído,En proceso,
74,7/26/2024,Santa Cruz,Buliu,Poste caído,En proceso,
75,5/19/2025,El Poblado,Ivanovo-Alekseyevka,Hueco en vía,En proceso,
76,4/24/2025,Doce de Octubre,Dogondoutchi,Poste caído,Pendiente,
77,8/20/2024,La Candelaria,Quintong,Hueco en vía,Pendiente,
78,6/24/2024,Doce de Octubre,Týrnavos,Poste caído,Solucionado,15
79,2/24/2025,Belen,Kiaranonggeng,Alcantarillado colapsado,Pendiente,
80,11/22/2024,Itagui,Silikatnyy,Luminaria dañada,Pendiente,
81,6/1/2024,San Javier,Göteborg,Poste caído,Solucionado,27
82,3/8/2025,Manrique,Sendangwaru,Hueco en vía,Solucionado,9
83,8/28/2024,Aranjuez,Changlong,Hueco en vía,En proceso,
84,8/16/2024,Manrique,Töreboda,Poste caído,En proceso,
85,7/23/2024,Manrique,Pardubice,Alcantarillado colapsado,Solucionado,23
86,1/9/2025,Doce de Octubre,Dayr al Ghuşūn,Alcantarillado colapsado,Solucionado,25
87,8/13/2024,Doce de Octubre,Leping,Alcantarillado colapsado,En proceso,
88,7/1/2024,El Poblado,Zbiroh,Alcantarillado colapsado,Solucionado,20
89,1/3/2025,Manrique,La Esperanza,Alcantarillado colapsado,Solucionado,20
90,5/5/2025,Villa Hermosa,Paris 08,Alcantarillado colapsado,Pendiente,
91,1/4/2025,Envigado,Pokój,Hueco en vía,Pendiente,
92,9/5/2024,Aranjuez,Lenchwe Le Tau,Alcantarillado colapsado,Pendiente,
93,3/30/2025,Santa Cruz,Pruzhany,Poste caído,En proceso,
94,12/3/2024,La Candelaria,Si Thep,Alcantarillado colapsado,En proceso,
95,1/24/2025,Castilla,Jiru,Alcantarillado colapsado,En proceso,
96,2/27/2025,Manrique,Rāmsar,Luminaria dañada,En proceso,
97,7/30/2024,Aranjuez,An Nāşirīyah,Luminaria dañada,En proceso,
98,3/20/2025,Doce de Octubre,Haapsalu,Alcantarillado colapsado,Solucionado,18
99,10/21/2024,Guayabal,Émponas,Luminaria dañada,En proceso,
100,12/11/2024,San Javier,Kaducondong,Alcantarillado colapsado,En proceso,
101,2/1/2025,San Javier,Roissy Charles-de-Gaulle,Hueco en vía,Pendiente,
102,10/7/2024,Villa Hermosa,El Cobre,Alcantarillado colapsado,Pendiente,
103,1/13/2025,Manrique,Cinagrog Girang,Hueco en vía,Pendiente,
104,4/28/2025,Manrique,Subotica,Luminaria dañada,En proceso,
105,8/27/2024,Manrique,Ryōtsu-minato,Luminaria dañada,Pendiente,
106,7/4/2024,San Javier,Hobart,Luminaria dañada,En proceso,
107,11/5/2024,Doce de Octubre,Cidade Velha,Hueco en vía,En proceso,
108,4/5/2025,La Candelaria,Vyritsa,Luminaria dañada,Solucionado,22
109,7/6/2024,La Candelaria,Pacaembu,Alcantarillado colapsado,Pendiente,
110,10/19/2024,El Poblado,Vaiusu,Hueco en vía,En proceso,
111,12/15/2024,Manrique,Klippan,Hueco en vía,En proceso,
112,2/6/2025,Belen,La Agustina,Alcantarillado colapsado,Pendiente,
113,2/8/2025,Doce de Octubre,Heichengzi,Luminaria dañada,Pendiente,
114,6/23/2024,Doce de Octubre,Düsseldorf,Alcantarillado colapsado,En proceso,
115,8/5/2024,Santo Domingo,Dukuhtengah,Alcantarillado colapsado,Solucionado,9
116,6/1/2024,Laureles,Petrokamenskoye,Luminaria dañada,En proceso,
117,7/1/2024,Aranjuez,Ramón Castilla,Hueco en vía,Solucionado,19
118,4/10/2025,Aranjuez,Nuevo Berlín,Poste caído,Solucionado,11
119,8/19/2024,Santa Cruz,Laojieji,Alcantarillado colapsado,Pendiente,
120,5/10/2025,Laureles,Zhenwen,Hueco en vía,En proceso,
121,10/25/2024,Villa Hermosa,Yuyao,Hueco en vía,Pendiente,
122,8/11/2024,Doce de Octubre,Huagang,Hueco en vía,En proceso,
123,12/19/2024,Guayabal,Comagascas,Alcantarillado colapsado,Solucionado,25
124,9/21/2024,Aranjuez,München,Alcantarillado colapsado,En proceso,
125,11/26/2024,La Candelaria,Miandrarivo,Luminaria dañada,Pendiente,
126,3/9/2025,Belen,Barreiro,Poste caído,Solucionado,17
127,7/26/2024,Belen,Longmen,Luminaria dañada,En proceso,
128,4/25/2025,Santa Cruz,Bañga,Hueco en vía,En proceso,
129,7/7/2024,Manrique,Gazanjyk,Poste caído,Pendiente,
130,6/12/2024,Manrique,Sila,Luminaria dañada,Pendiente,
131,11/27/2024,Manrique,Dū Qal‘ah,Poste caído,En proceso,
132,10/25/2024,Envigado,Boljevci,Luminaria dañada,Solucionado,14
133,7/30/2024,Aranjuez,Semënovskoye,Poste caído,Solucionado,6
134,5/30/2024,Manrique,Empório,Alcantarillado colapsado,Pendiente,
135,5/31/2024,Belen,Donja Dubica,Luminaria dañada,Pendiente,
136,1/28/2025,Laureles,Padre Paraíso,Alcantarillado colapsado,En proceso,
137,1/11/2025,Santo Domingo,Dazhou,Luminaria dañada,Pendiente,
138,1/7/2025,Robledo,Librazhd,Alcantarillado colapsado,Solucionado,19
139,9/8/2024,San Javier,Cannes,Alcantarillado colapsado,Pendiente,
140,11/17/2024,Manrique,Bull Savanna,Luminaria dañada,Pendiente,
141,4/30/2025,Aranjuez,Voinjama,Hueco en vía,Pendiente,
142,2/2/2025,Villa Hermosa,Alīābad,Poste caído,Solucionado,11
143,10/3/2024,Guayabal,Xinghe Chengguanzhen,Luminaria dañada,En proceso,
