id,Fecha,Comuna,Barrio,Problema,Estado,TiempoSolucion
1,10/9/2024,Guayabal,Bekondo,Luminaria dañada,Solucionado,23
2,12/2/2024,Envigado,Ganzi,Poste caído,Solucionado,23
3,7/13/2024,Itagui,Ligonggang,Luminaria dañada,En proceso,
4,12/2/2024,Doce de Octubre,Orós,Poste caído,Pendiente,
5,7/22/2024,Manrique,Krzczonów,Poste caído,En proceso,
6,12/21/2024,Doce de Octubre,Hougang,Poste caído,En proceso,
7,4/16/2025,La Candelaria,Yulin,Poste caído,En proceso,
8,4/17/2025,Laureles,Aughrim,Luminaria dañada,Solucionado,29
9,2/16/2025,Robledo,Ikang,Alcantarillado colapsado,Solucionado,10
10,4/6/2025,Envigado,Rajhrad,Luminaria dañada,En proceso,
11,12/4/2024,Robledo,Bonanza,Poste caído,Pendiente,
12,5/25/2025,Belen,Acharnés,Luminaria dañada,En proceso,
13,1/2/2025,San Javier,Pokrovka,Poste caído,Pendiente,
14,4/5/2025,Envigado,Uyen Hung,Luminaria dañada,Pendiente,
15,7/17/2024,Manrique,Genyem,Hueco en vía,En proceso,
16,10/28/2024,Santo Domingo,Dūrā al Qar‘,Poste caído,En proceso,
17,11/23/2024,Castilla,Wuxi,Hueco en vía,Solucionado,10
18,12/23/2024,Guayabal,Gensi,Poste caído,Pendiente,
19,8/8/2024,Aranjuez,Baraba,Hueco en vía,Pendiente,
20,8/15/2024,La Candelaria,Am Djarass,Hueco en vía,En proceso,
21,12/10/2024,Doce de Octubre,Sudzha,Poste caído,Pendiente,
22,10/7/2024,Santo Domingo,Lápas,Alcantarillado colapsado,En proceso,
23,3/14/2025,Manrique,Magway,Hueco en vía,En proceso,
24,8/8/2024,Manrique,Portumna,Hueco en vía,En proceso,
25,6/16/2024,Santa Cruz,Lemery,Alcantarillado colapsado,Pendiente,
26,9/18/2024,Villa Hermosa,Batugede Kulon,Poste caído,Pendiente,
27,2/7/2025,La Candelaria,Cibeureum,Luminaria dañada,Pendiente,
28,2/3/2025,La Candelaria,Sarpang,Hueco en vía,Solucionado,10
29,8/20/2024,Robledo,San Bernardino,Alcantarillado colapsado,Pendiente,
30,6/5/2024,Santa Cruz,Standerton,Luminaria dañada,Pendiente,
31,7/10/2024,Aranjuez,Pale,Hueco en vía,En proceso,
32,1/5/2025,Guayabal,Toutuo,Poste caído,En proceso,
33,10/19/2024,Manrique,Sujiatun,Hueco en vía,Solucionado,30
34,3/2/2025,Doce de Octubre,Smilavichy,Poste caído,Pendiente,
35,3/9/2025,Doce de Octubre,Huanggang,Poste caído,En proceso,
36,5/7/2025,Aranjuez,Drzewica,Poste caído,Pendiente,
37,6/17/2024,Santa Cruz,Colonia Catuete,Hueco en vía,Pendiente,
38,5/18/2025,Guayabal,Paso de los Libres,Hueco en vía,Solucionado,13
39,6/19/2024,Doce de Octubre,Nariño,Alcantarillado colapsado,Solucionado,30
40,3/19/2025,Guayabal,Hanover,Poste caído,En proceso,
41,6/1/2024,Aranjuez,Tambo Grande,Alcantarillado colapsado,Pendiente,
42,4/10/2025,Aranjuez,Batutulis,Hueco en vía,En proceso,
43,12/9/2024,Doce de Octubre,Xingdian,Poste caído,Pendiente,
44,8/4/2024,Guayabal,São José do Rio Preto,Poste caído,Solucionado,24
45,7/1/2024,Envigado,Brongkalan,Luminaria dañada,Solucionado,25
46,9/14/2024,Robledo,Turka,Luminaria dañada,Pendiente,
47,6/26/2024,Manrique,Baton Rouge,Luminaria dañada,En proceso,
48,2/26/2025,Robledo,Prado,Alcantarillado colapsado,Pendiente,
49,6/10/2024,El Poblado,Del Valle,Alcantarillado colapsado,Pendiente,
50,2/14/2025,Doce de Octubre,Vlorë,Poste caído,Pendiente,
51,10/15/2024,Manrique,Santa Clara,Poste caído,En proceso,
52,6/17/2024,El Poblado,Shangrao,Alcantarillado colapsado,En proceso,
53,8/28/2024,Aranjuez,Jinotega,Luminaria dañada,En proceso,
54,1/4/2025,Manrique,Manhush,Alcantarillado colapsado,Pendiente,
55,8/1/2024,Villa Hermosa,Timiryazevskiy,Alcantarillado colapsado,Pendiente,
56,6/5/2024,Itagui,Los Pinos,Poste caído,En proceso,
57,1/18/2025,El Poblado,Guangfu,Luminaria dañada,Solucionado,26
58,12/21/2024,Laureles,Kraśniczyn,Alcantarillado colapsado,Solucionado,19
59,5/26/2025,Doce de Octubre,Chaowai,Alcantarillado colapsado,Solucionado,19
60,11/23/2024,Envigado,Hōfu,Hueco en vía,Pendiente,
61,4/11/2025,Aranjuez,Mapulo,Alcantarillado colapsado,En proceso,
62,8/19/2024,Santo Domingo,Bagumbayan,Alcantarillado colapsado,Solucionado,7
63,3/30/2025,Belen,Ngajum,Poste caído,Pendiente,
64,5/11/2025,San Javier,Krong Pi Nang,Luminaria dañada,Pendiente,
65,9/26/2024,Laureles,Ulricehamn,Luminaria dañada,Solucionado,4
66,11/17/2024,Villa Hermosa,Praya,Hueco en vía,En proceso,
67,1/22/2025,La Candelaria,Los Pinos,Alcantarillado colapsado,Pendiente,
68,5/27/2025,San Javier,Lamongan,Alcantarillado colapsado,Solucionado,30
69,11/30/2024,San Javier,Brzozów,Luminaria dañada,En proceso,
70,3/22/2025,Castilla,Karmaskaly,Poste caído,Solucionado,13
71,10/25/2024,San Javier,Harrisburg,Luminaria dañada,En proceso,
